PLACE_NM,GUGUN_NM,TRRSRT_LA,TRRSRT_LO,TRRSRT_ROAD_NM_ADDR,TEL_NO,GRP_NM,SEASON_NM,IEM_NM,CL_NM,ETC_CN
감천문화마을,사하구,35.09731,129.01028,부산광역시 사하구 감내2로 203 감천문화마을안내센터,0512041444,"가족,부모,아이,커플,친구,혼자","봄,여름,가을","자연,걷기",기타,"알록달록한 감천문화마을! 한국의 산토리니, 마추픽추로 불리는 만큼 감천문화마을만의 감성적인 분위기가 느껴졌고 볼거리가 가득했는데요! 반려견 대박이에게도 색다른 풍경을 보여줄 수 있을 것 같았어요. 역시 부산의 명소답게 구경하는 사람들이 많았는데요. 많은 인파로 인해 안전이 우려될 때는 안고 돌아다녔어요~ 대박이를 보고 귀엽다고 좋아해 주는 분들도 많았는데 그때 반려견과 인사할 때 주의할 점을 알려드렸어요. 반려견과 인사할 때 참고할 점 1. 주인에게 허락을 받는다. 2. 만질 때 선체로 팔을 뻗지 않는다. 3. 머리를 마구 쓰다듬지 않는다. 4. 반려견이 인사하고 싶지 않다는 표현(귀를 뒤로 젖힌다거나 물러서는 행동)을 했을 때 억지로 인사하지 않는다. 위 네 가지 사항을 지켜주신다면 반려견도, 견주도 친절히 소통하는 방법을 가르쳐 줄 거예요."
아미동 비석문화마을,서구,35.09906,129.01271,부산광역시 서구 아미로49,0512404496,"가족,아이",사계절,"자연,역사,문화",기타,"도로 하나를 사이에 두고 감천문화마을과 나란히 펼쳐지는 아미동 비석문화마을.산복도로 르네상스 시대를 맞아 방문하는 관람객들로 분주해진 산동네 마을 중 하나이다. 6.25 전쟁 통에 가재도구만 짊어지고 무작정 나선 피난길. 부산역으로 자꾸 몰려드는 피난민들에게 공무원이 쥐어준 작은 쪽지에는 짧은 주소가 하나 적혀 있었다.‘아미동 산19번지’, 앞으로 그들이 터를 잡고 살아가야 할 곳, 아미동 비석문화마을의 시작이었다. 일본인들의 공동묘지였던 아미동 산비탈 일대는 해방 후 그대로 방치되었다가, 부산으로 피난 온 사람들이 이 곳에 터를 잡게 되면서 주거지로 점차 바뀌게 되었다. 건축자재가 전무했던 시절, 묘지 위에 판자를 놓고 비석과 상석을 재료 삼아 집을 짓기 시작했다. 묘지 위에 집이라니, 지금이라면 상상조차 할 수 없지만 몸 하나 편히 뉠 공간도 없는데 무덤이 무슨 대수였을까. 바람 막아줄 기둥 하나 있다면 어디든 전쟁터보다 나았으리라. 집을 지으며 수습한 유골은 제를 지내고 근처 절에 모시기도 했다고 하니, 죽은 자에 대한 나름의 예는 갖춘 것이다.골목마다 비석을 품은 집들이 아픔으로 다가와 마음 한편에 자리한다. 누구라도 어쩔 수 없었던 역사의 흔적, 그 깊이를 마주하니 저절로 숙연해진다. 비석을 찾아 헤매다 만나는 골목벽화는 어린 시절의 추억을 불러오고 골목사이로 보이는 시원한 전망은 방문객의 힘든 발걸음을 쉬어가게도 한다. 그야말로 산 자와 죽은 자가 공존하는 마을이다. 과거는 현재로 이어지고 현재는 과거를 기억한다. 보따리 이고 지고 남쪽으로 피란행렬 따라 내려온 길, 그 길은 비석문화마을에 고단한 삶의 흔적을 남겼고 현재의 우리는 그 길을 다시 걷는다. 어느 삶인들 소중하지 않을 수 있을까. 순간순간 최선을 다해 살아 온 삶은 그저 놀랍고 신비롭고 아름다울 따름이다. 아미동 비석문화마을은 조용히 거닐며 마을 구석구석을 알아가는 여정이 좋다. 미처 헤아리지 못한 부산의 역사를 현장에서 바로 마주하는 느낌을 받는다. 부산의 여느 원도심 여행지와는 다르게 말로 표현할 수 없는 특별한 자극을 주는 비석문화마을이다."
한국신발관,동구,35.14108,129.05361,부산광역시 부산진구 백양대로 227(한국신발관),0518989300,"가족,아이,혼자",사계절,"문화,체험",도시,"신발산업은 굉장한 노동집약적인 산업으로 좁은 공장안에서 일일이 수작업을 통해 신발을 만들어야 했습니다. 힘들고 가난했던 시절, 늘 희생해야 했던 사람이었던 누나. 누나의 길에는 그 시절 우리 ‘누나’들의 이야기가 고스란히 남아있습니다. 이 좁은 골목길은 공장직원들이 애용하던 지름길이었습니다. 지금은 휑한 이 골목이 한 때 여공들의 구두소리로 가득했다고 해요.역사전시관은 어떤 모습일지 한번 둘러볼까요? 백제시대부터 고려, 조선시대를 아우르는 다양한 신발과 그 역사가 전시되어 있어요. 지금은 드라마 속에서나 볼 수 있는 신발이 눈앞에 펼쳐지니 이것 또한 신기한 체험인 것 같아요. 레트로의 상징 고무신이 보이네요. 직접 신어 볼 수 있다고 하니 고무신 신고 멋진 포즈 한번 잡아보시죠?^^ 곳곳에 그때 그 시절 말표신발, 범표신발, 타이거운동화 등을 기억하는 분들에게 흐뭇한 추억을 선사하는 전시물이 많이 보여요. 유명인들이 기증한 신발을 구경하는 것도 색다른 즐거움을 줍니다.그 때 그 시절 사용하던 재봉틀과 작업환경을 그대로 재현해 낸 공간을 보니 괜스레 마음이 뭉클해집니다. 한국신발관을 나오면 부산 커스텀 작가들을 위한 공간이 있어요. 커스텀 아티스트들과 내 신발 내 마음대로 할 수 있는 갖바치 체험도 있으니 자신만의 특별한 신발브랜드를 만들어보는 건 어떨까요?"
구덕문화공원,서구,35.12617,129.00514,부산광역시 서구 꽃마을로163번길 73,0512403521,"가족,부모,아이,친구","봄,여름,가을","자연,공원,걷기",산,"많은 시간을 집안에서 보내는 일이 많아진 요즘입니다. 코로나 상황이 종료되는 그날까지는 언택트 트렌드에 맞춰 거리두기가 가능한 야외활동 장소를 찾을 수 밖에 없는데요, 부산 서대신동 꽃마을에 인접한 구덕문화공원으로 한적한 산책 한 번 나가실래요? 구덕산 숲 속에 위치한 구덕문화공원은 울창한 숲이 우거진 산책로를 걸으며 마음의 평온을 얻을 수 있는 보물 같은 장소입니다. 싱그러운 초록의 숲이 전해주는 밝고 건강한 에너지를 한껏 누릴 수 있는 곳이에요. 숲길 일주를 하는 데 대략 40~50분 정도 소요되는 제법 넓은 공원입니다. 시간의 여유를 가지고 충분한 숲 속 힐링을 느껴보세요."
동래시장,동래구,35.20391,129.08588,부산광역시 동래구 동래시장길 14,0515521651,"가족,부모,아이,커플,친구,혼자",사계절,쇼핑,도시,"2층짜리 깔끔한 현대식 건물인 동래시장의 나이는 벌써 250살. 조선시대 부산지역 최대 5일장이었던 동래장터가 현재까지 동래에서 가장 큰 규모를 자랑하는 전통시장으로 이어지고 있다. 시장 내 점포들도 오랜 기간 전통을 유지해 온 집들이 많다. 건물 바깥쪽을 둘러싼 한약재상, 가격을 좀처럼 올리지 않는 식당가, 애교로 흥정이 가능한 패션잡화 등 대부분의 가게가 최소 40 ~ 50년 경력을 자랑한다. 가격 저렴, 상품 고퀄, 소문난 맛집 하면 동래시장!"
가덕해양파크휴게소,강서구,35.02359,128.80673,부산광역시 강서구 거가대로 2571,0517152200,"가족,커플,친구",사계절,"자연,이색여행",바다,"요즘 고속도로 휴게소의 풍경이 점점 달라지고 있다는 거 느끼셨나요? 그 중에서도 부산-거제 간 연결도로 휴게소인 가덕해양파크는 휴게소라는 말 보다 휴양지라는 말이 더 잘 어울리는 곳이랍니다. 천혜의 자연을 가득 담은 풍경맛집인 덕에 가덕해양파크는 잠깐 들렀다 지나치는 휴게소가 아니라 그 자체로 목적지가 되어 많은 사람들이 찾아오는 곳이 되었어요. 부산의 서쪽 끝 가덕도에 위치해 광활한 바다 풍경과 남해 특유의 잔잔함을 전해주는 가덕해양파크휴게소, 웬만한 오션뷰는 이곳에선 명함도 내밀지 못 할거에요. 드넓은 야외테라스와 힐링산책로가 기분 좋은 휴식을 선사합니다. 한참을 거닐어도 힘들긴커녕 오히려 쌓였던 피로가 저 멀리 날아가 버린답니다. 테라스 벤치에 앉아 수다삼매경에 빠지기도 하고, 저 멀리 정자에 앉아 넋 놓고 바다멍을 즐기는 여유로운 시간을 만끽해 보세요."
부산어촌민속관,북구,35.23407,129.00859,부산광역시 북구 학사로 128,0515508882,"부모,아이,커플,친구,혼자",사게절,"문화,체험",도시,지금은 거대한 해양관광수도의 상징이 되었지만 과거 부산은 조그만 어촌마을에 지나지 않았다. 오로지 바다와 낙동강에 삶을 의지하며 어촌문화를 꽃피운 선조들의 삶을 엿볼 수 있는 부산어촌민속관은 낙동강과 함께 수천 년을 살아 온 사람들에 대한 이야기와 그들의 삶에 녹아든 민속 문화를 생생하게 재현해 놓은 곳이다. 오늘은 강에서 바다로 이어지는 부산 어촌문화에 대한 여행을 계획해보는 것은 어떨까.
박차정의사 생가,동래구,35.20194,129.09041,부산광역시 동래구 명륜로98번길 129-10,0515560527,"부모,아이,커플,친구,혼자",사계절,"역사,문화",도시,박차정의사 생가는 동래구 낙민역에서 안내 표지판을 따라 걸음을 옮기기만 하면 쉽게 만날 수 있다. 주택가 골목 사이에 펄럭이는 태극기와 함께 소담한 생가가 자리하고 있다. 박차정의사는 동래일신여학교에서 항일 학생운동을 주도하였고 이후 중국으로 망명해 의열단의 핵심단원으로 활동하며 죽을 때까지 민족과 여성의 해방을 외쳤다. 오늘의 평화를 선물해주신 독립운동가 분들께 잠시나마 감사한 마음을 새겨보는 것도 좋겠다.
기장멸치축제,기장군,35.22337,129.23056,부산 기장군 기장읍 대변리 444-20 대변항 일대,0517214063,"가족,부모,아이,커플,친구",봄,축제,바다,"풍요로운 기장 앞바다의 맛을 맘껏 즐기려면? 기장멸치의 신선함을 있는 그대로 보여주는 기장멸치축제로 가면 된다. 봄이 되면 오동통통 살이 올라 씹는 맛이 일품인 기장멸치를 새콤달콤 입맛 돋우는 회무침으로도, 튀김옷 얇게 입힌 고소한 튀김으로도, 된장과 시래기 넣고 끓인 구수한 찌개로도 맛 볼 수 있다. 기장멸치축제의 인기 프로그램 맨손활어잡기 도전도 하고 공연의 압권인 플라잉보드 쇼도 보며 시간 가는 줄 모른다. 깜짝 경매에 참가해 기장멸치를 저렴한 가격으로 구입할 수도 있다. **축제 연기 안내** 신종 코로나바이러스(코로나19) 감염 확산 방지를 위해 기장 멸치 축제는 연기되었음을 알려드립니다.(재개 시 별도 안내)"
부산시청자미디어센터,해운대구,35.17255,129.13021,부산광역시 해운대구 센텀중앙로 42,0517499500,"부모,아이,커플,친구,혼자",사계절,"문화,체험",도시,"부산시청자미디어센터의 정회원이라면 누구나 1인 미디어의 꿈을 펼칠 수 있다. 방송제작에 필요한 교육부터, 영상장비 대여, 편집실과 녹음실 이용이 모두 무료이다. 학생들을 위한 맞춤형 스튜디오 체험프로그램도 정기적으로 운영한다. 미디어 놀이터 부산시청자미디어센터에서 잠재된 상상력을 마음껏 펼쳐보자. ** 코로나19의 여파로 시청자미디어센터는 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요."
해운대시장,해운대구,35.16165,129.16211,부산 해운대구 구남로41번길 22-1,0517463001,"가족,부모,아이,커플,친구,혼자",사계절,쇼핑,도시,"해운대 해수욕장과 5분 거리에 위치한 해운대시장은 다양한 먹거리와 볼거리로 항상 북적인다. 전국적으로 유명세를 탄 떡볶이, 튀김, 칼국수, 꽈배기, 돼지국밥 등의 가게 앞에는 기다리는 사람들로 인산인해를 이룬다. 각종 부식거리를 비롯하여 활어회, 곰장어구이 등도 성업 중이라 말 그대로 골라먹는 천국이다. 구경거리 많은 재래시장 돌아보며 인심 좋은 주인장 만나 덤 하나 얻어오는 행운도 누릴 수 있다."
조선통신사역사관,동구,35.13575,129.06203,부산광역시 동구 자성로99,0516310858,"가족,아이,커플,친구,혼자",사계절,"역사,문화",도시,조선통신사역사관은 한일 양국의 평화를 위해 조선에서 일본으로 파견된 대규모 국가사절단인 조선통신사의 행적을 재미있게 알려주는 탐방 공간이다. 이와 더불어 매년 5월 광복로 일원에서는 한?일 양국이 참가하는 통신사 행렬 재현 조선통신사축제가 열린다. ** 코로나19의 여파로 조선통신사역사관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요.
최민식갤러리,서구,35.09833,129.01472,부산광역시 서구 천마산로410,0512404496,"부모,아이,커플,친구,혼자",사계절,"역사,문화",도시,1960~70년대 부산 자갈치시장을 주무대로 활동했던 다큐멘터리 사진작가 최민식 선생의 갤러리가 아미문화학습관 2층에 자리하고 있다. 가난한 피란민의 고단한 생활상을 연출 없이 그대로 카메라 앵글에 담아냈다. 사진기 하나 달랑 들고 주로 낮은 곳으로만 향했던 작가의 작품에는 ‘인간’에 대한 위로가 가득하다. 최민식 작가는 ‘감정 없이는 카메라를 들 수 없다’고 하였다. 소외된 소시민의 밝은 미소를 보며 그 역시 가슴이 뭉클했으리라.
아미산 전망대,사하구,35.05272,128.96075,부산광역시 사하구 다대낙조2길 77,0512656863,"가족,부모,아이,커플,친구,혼자",사계절,자연,바다,"영남지방 전역을 시원하게 관통하는 낙동강, 그 끝자락이 남해와 만나 바다가 되기 직전 강줄기 따라 실려 온 모래는 거대한 삼각주가 되어 비옥한 땅을 이룬다. 풍부한 먹이와 깨끗한 수질로 수많은 철새들의 삶의 터전이 되는 낙동강 하류. 강과 바다가 만나 이루는 환상적인 분위기를 느끼고 싶다면 아미산전망대로 가보자."
송도해수욕장,서구,35.07595,129.01694,부산광역시 서구 송도해변로 100,0512310252,"가족,부모,아이,커플,친구,혼자",사계절,자연,바다,"나이 지긋한 어르신의 추억 속 해수욕장이 젊은이들의 핫플로 다시 태어났다면? SNS를 뜨겁게 달구며 너도나도 업로드 경쟁중인 장소의 주인공 송도해수욕장으로 간다. 송도해수욕장은 1913년에 개장한 우리나라 1호 해수욕장으로 개장 100주년을 넘어선 해수욕장이다. 1960~70년대 최고의 전성기를 누렸으나 80년대에 들어서면서 아무도 찾지 않는 쓸쓸한 해수욕장이 되어버렸다. 하지만 천혜의 자연환경을 가진 송도해수욕장의 훼손을 안타까워하는 마음이 모여 지속적인 정비가 이루어졌고, 그 결과 예전보다 더 아름다운 해수욕장으로 변모하였다. 깨끗한 모래사장과 맑은 수질, 구름산책로, 해상케이블카를 가진 송도해수욕장은 이제 연간 500만이 넘는 관광객이 찾는 명소가 되었다."
태종대,영도구,35.05264,129.08781,부산광역시 영도구 전망로 24,0514058745,혼자,"봄,여름,가을","자연,공원,걷기","바다,산",초록으로 우거진 싱그러운 숲길을 거닐며 푸른 바다를 한눈에 바라볼 수 있는 곳. 오랜 세월 파도에 깎여 각양각색의 신비를 가지게 된 바위해안이 그 수려함을 자랑하는 곳. 부산 영도 남쪽 끝에 자리하고 있는 태종대의 이야기다. 태종대는 신라의 태종무열왕이 이곳의 경치에 반해 활쏘기를 즐기며 쉬어갔다 하여 유래된 이름이라 한다. 짙푸른 바다에 둘러싸인 기암괴석과 우거진 녹음이 반가운 인사를 건네는 태종대는 빠지지 않는 전국 여행코스 중 하나다.
다대포해수욕장,사하구,35.04652,128.96283,부산광역시 사하구 몰운대1길 14,0512204127,"가족,부모,아이,커플,친구,혼자","봄,가을",자연,바다,"낙동강과 남해안이 만나 양질의 모래밭을 만든 곳, 일출과 일몰 조망지로 부산 최고인 곳, 다대포해수욕장은 자연이 주는 황홀경을 맘껏 즐길 수 있는 기분 좋은 장소이다."
광안리해수욕장,수영구,35.15318,129.11887,부산광역시 수영구 광안해변로 219,0516224251,"아이,커플,친구,혼자",사계절,"자연,문화,체험",바다,"광안대교라는 랜드마크와 함께 부산을 대표하는 해수욕장 중 하나로 꼽히는 광안리 해수욕장. 도심과 가장 가까운 해변이자 부산 젊은이들의 성지라 할 수 있다. 전국에서 모여드는 이들의 입맛을 모두 충족시킬 수 있는 다양한 맛집의 향연, 바다가 보이는 카페, 골목 곳곳에 위치한 이색 공간, 봄이면 온 거리를 분홍빛으로 물들이는 남천동 벚꽃거리까지. 새하얀 백사장과 푸르른 바다 말고도, 광안리가 간직한 매력은 무궁무진하다."
