SKEY,FSTVL_NM,OPMT_PLACE,FSTVL_BGNDE,FSTVL_ENDDE,FSTVL_CN,MNNST,AUSPC_INSTT,SUPRT_INSTT,TELNO,HMPG,RELATE_INFO,RDNMADR,LNM_ADRES,LA,LO,DATA_STDDE
11,제10회 부산진구 북페스티벌,부산진구청,2020-11-14,2020-11-15,"온오프라인 공연행사, 체험행사 등",부산광역시 부산진구청,부산광역시 부산진구청,-,051-605-6271,http://tour.busanjin.go.kr,-,부산광역시 부산진구 시민공원로30 (범전동),부산광역시 부산진구 범전동 666-16,35.16283064,129.053188,2021-05-17
12,전포카페거리축제,전포카페거리 일원,2020-11-25,2020-12-03,"전포 코오피 스쿨, 아바타투어 등 부산진구 SNS를 활용한 다양한 체험,이벤트 프로그램 운영",부산광역시 부산진구청,전포카페거리상인회,-,051-605-4525,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,-,부산광역시 부산진구 동천로 92(전포동),부산광역시 부산진구 전포동 668-1,35.1570356,129.0630291,2021-05-17
13,서면 희망 빛드림,서면 젊음의 거리 일원,2020-12-04,2021-02-28,"빛 조형물 전시, 공연 등",부산광역시 부산진구청,부산광역시 부산진구청,-,051-605-4522,http://tour.busanjin.go.kr,-,부산광역시 부산진구 중앙대로 692번길 일원(부전동),부산광역시 부산진구 부전동 205-2,35.15420602,129.0601315,2021-05-17
14,제19회 명지시장 전어축제,명지시장,2019-08-20,2019-08-22,"시식회, 노래자랑, 공연 등",명지시장 상인회,명지시장 전어축제추진위원회,-,051-970-4475,http://www.bsgangseo.go.kr/visit,축제 관련 정보 제공,부산광역시 강서구 신포길 13-2,부산광역시 강서구 명지동 1-377,35.112969,128.9321171,2020-03-01
15,제5회 라라라 페스티벌,부산대 지하철역 아래 문화행사장 일원 (온천천 어울마당),2020-10-04,2020-10-06,"금정 커피,빵,문화의 맛 즐기기 및 공연 등 문화공간 제공",부산광역시 금정구,부산광역시 금정구,-,051-519-4422,-,"금정의 커피 및 빵 즐기기, 초콜릿 만들기, 라라라 놀이체육 한마당, 금정 맛 푸드 콘서트 등",-,부산광역시 금정구 장전동 427,35.2296168581,129.0893422808,2021-02-23
16,"제9회 낙동강 구포나루 축제(잠정연기, 2021년 예정)",화명생태공원 선착장 일원,2019-05-17,2019-05-19,감동 민속촌/밀사리체험/바비큐체험/구포국수체험 등,(사)북구문화관광축제조직위원회,(사)북구문화관광축제조직위원회,부산광역시 북구청,051-309-4522,http://www.guponarufes.co.kr,낙동민속예술제,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968,2021-04-27
17,조선통신사 축제,용두산공원 및 광복로 일원,2020-10-01,2020-10-31,"광장행사, 조선통신사 평화의 행렬, 조선통신사의 밤, 한일거리예술공연 등",(재)부산문화재단,부산광역시,부산광역시 중구,051-600-4085,http://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000203003000000,-,부산광역시 중구 광복중앙로 3,부산광역시 중구 창선동1가 1-1,35.09953937,129.0311369,2020-10-14
18,광복로연등문화제,광복로 및 광복중앙로 일원,2020-04-14,2020-05-03,장엄등 및 거리등 전시,부산중구불교연합회,부산중구불교연합회,부산광역시 중구,051-253-8686,-,-,부산광역시 중구 광복로77번길 5,부산광역시 중구 광복동 2가 1-11,35.09905809,129.0333969,2020-10-14
19,보수동책방골목문화축제,보수동책방골목 및 문화관,2020-10-01,2020-10-31,책읽는마을 심포지엄/공연행사/체험 등,보수동 책방골목 번영회,보수동 책방골목 번영회,부산광역시 중구,051-253-7220,http://www.bosubook.com/,-,부산광역시 중구 흑교로46번길 11,부산광역시 중구 보수동1가 119-6,35.10362715,129.0261809,2020-10-14
20,부산국제영화제 전야제,BIFF광장 및 광복로 등,2020-10-06,2020-10-06,핸드프린팅 개봉/축하공연,(사) 부산국제영화제,(사) 부산국제영화제,부산광역시 중구,051-709-2091,http://www.biff.kr,-,부산광역시 중구 비프광장로 36,부산광역시 중구 남포동5가 18-1,35.09862035,129.0287588,2020-10-14
21,부산자갈치축제,자갈치시장 및 유라리광장 일원,2020-10-08,2020-10-11,"개막식, 길놀이, 체험프로그램등",(사)부산자갈치문화관광축제위원회,(사)부산자갈치문화관광축제위원회,"부산광역시, 부산광역시 중구, 부산시설관리공단",051-243-9363,http://www.ejagalchi.com/,-,부산광역시 중구 자갈치해안로 52,부산광역시 중구 남포동4가 37-1,35.0966394,129.0305933,2020-10-14
22,부산크리스마스트리문화축제,광복로 및 중구 관내 일원,2020-11-28,2021-01-03,일루미네이션 크리스마스트리장식/성탄음악행사/시민참여행사/점등식 등,(사) 부산기독교총연합회,(사) 부산기독교총연합회,"부산광역시, 부산광역시중구등",051-464-0112,http://www.bctf.kr,-,부산광역시 중구 광복중앙로 2,부산광역시 중구 광복동2가 6-5,35.0995432,129.0314651,2020-10-14
23,제38회 해운대달맞이온천축제,해운대 해수욕장,2021-02-24,2021-02-26,해운대 월출과 온천을 소재로 민속축제를 계승 재현(축제취소),해운대지구발전협의회,해운대지구발전협의회,해당없음,051-746-0276,-,-,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.1591069824,129.1602837868,2021-03-22
24,제16회 해운대모래축제,"해운대 해수욕장, 해운대광장",2021-05-05,2021-05-09,"모래작품 전시 및 체험프로그램, 플라워카펫 등","해운대구, (사)해운대문화관광협의회",해운대구,해당없음,051-749-4062,-,-,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.1591069824,129.1602837868,2021-03-22
25,제8회 해운대 빛축제,"해운대 해수욕장, 해운대광장",2021-11-27,2022-02-13,빛 시설물 설치 점등(축제 일정 미정),"해운대구, 해운대빛문화축제위원회",해운대구,해당없음,051-749-4062,http://www.haeundae.go.kr/tour/index.do?menuCd=DOM_000000309000000000,-,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.1591069824,129.1602837868,2021-03-22
26,2022 해운대 카운트다운 &amp; 해맞이축제,해운대 해수욕장,2021-12-31,2022-01-01,"카운트다운 행사, 해맞이 행사, 부대 프로그램 등",해운대구,해운대구,해당없음,051-749-4062,-,-,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.1591069824,129.1602837868,2021-03-22
27,수국꽃 문화축제(미확정),태종대 내 태종사 일원,2021-06-26,2021-07-04,"개막식, 수국꽃 관람, 꽃밭포토존, 꽃밭버스킹, 꽃밭냉면시식회, 힐링체험프로그램(6종), 아트(프리)마켓 운영",수국축제추진위원회,대한불교조계종 태종사,"부산광역시, 영도구, 부산시설공단, 부산관광공사",051-419-4064,http://www.yeongdo.go.kr/main.web,-,부산광역시 영도구 전망로 119,부산광역시 영도구 동삼동 산29-4,35.05597301,129.0897518,2021-03-24
28,동래읍성역사축제,"동래문화회관,읍성광장,온천장 일원",2021-10-08,2021-10-10,"동래부사행차 길놀이,동래성 전투 실경 뮤지컬,동래세가닥줄다리기,동래온천용왕제길놀이,동래장터 체험 등","동래문화원,동래읍성역사축제추진위원회",동래구청,"부산광역시,한국관광공사,부산관광공사 등",051-550-4092,https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,축제정보,부산광역시 동래구 문화로 80(명륜동),부산광역시 동래구 명륜동 137,35.2119506866,129.0905459618,2021-03-09
29,부산 차이나타운특구 문화축제,"부산역 광장, 차이나타운특구 일원",2020-10-16,2020-10-18,"볼거리, 먹거리, 체험 프로그램 구성,중국문화원, 중국유학생 등 다양한 채널을 통한 중국전통공연과 한국을 대표할 수 있는 문화공연 및 체험 등 배치",부산차이나타운축제추진위원회,부산 동구,-,051-440-4062,http://tour.bsdonggu.go.kr/,-,부산광역시 동구 초량중로 36 (초량동),부산광역시 동구 초량동 546,35.11507608,129.0375502,2020-05-26
30,낙동강유치꽃축제,온라인,2021-04-09,2021-04-11,"유채꽃 배달, 인플루언서 연계 행사 등",(사)부산문화관광축제조직위원회,부산광역시,-,051-888-5222,http://www.bfo.or.kr/main/index.asp,-,-,부산광역시 강서구 대저1동 1-5,35.199226167,128.973417901,2021-03-30
31,원도심활성화 축제,원도심,2021-05-21,2021-05-24,원도심 야간걷기 투어 및 체험참여행사 등,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5221,http://www.bfo.or.kr/main/index.asp,용두산공원 태종대 영도대교 도개,부산광역시 중구 중구로 120(대청동1가),-,35.10619853,129.0323505,2021-03-30
32,부산크리스마스트리축제,광복로일원,2021-11-01,2022-01-31,"(날짜 미정)트리점등식 문화공연, 사랑나눔행사",크리스마스트리축제위원회,(사)부산기독교총연합회,부산광역시,051-888-5225,http://bctf.kr/g5,"광복로일원, 자갈치시장",부산광역시 중구 광복로6번길 3(부평동2가),부산광역시 중구 부평동2가 33-6,35.099428276,129.027814929,2021-03-30
33,부산시민의종 타종식,용두산공원,2021-12-31,2022-01-01,"시민의종 타종, 문화공연",(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5221,http://www.bfo.or.kr/main/index.asp,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),-,35.100950542,129.032430719,2021-03-30
34,조선통신사 축제,"광복로일원, 용두산공원",2021-09-10,2021-09-12,"조선통신사 행렬재현, 마상재, 新조선통신사 프로그램 등",부산문화재단,부산광역시,-,051-888-5091,http://tongsinsa.com/html,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),-,35.100910006,129.032429712,2021-03-30
35,감천문화마을 골목축제,감천문화마을 일원,2019-04-26,2019-04-28,"골목나라퍼레이드,청소년프린지어워드, 골목노래자랑, 마을연극 등",(사)감천문화마을 주민협의회,부산광역시 사하구,-,051-204-1444,http://www.gamcheon.or.kr,-,부산광역시 사하구 감내2로 203,부산광역시 사하구 감천동 1-14,35.09748815,129.010624,2021-03-25
36,하단포구웅어축제,하단동일원,2019-05-24,2019-05-26,"웅어회, 웅어구이 무료시식 및 판매 / 사물놀이, 어업인 장기자랑 및 노래자랑",하단어촌계,부산광역시 수협,사하구,051-220-4501,https://www.saha.go.kr/tour/contents.do?mId=0202050000,-,부산광역시 사하구 하신번영로 253-1,부산광역시 사하구 하단동 1167-3,35.103745,128.9581946,2021-03-25
37,다대포어항문화축제,다대포 일원,2019-11-15,2019-11-16,"어류방류 체험, 생선회 정량달기 등",다대포어항문화축제추진위원회,부산광역시 수협(다대 어촌계),사하구,051-220-4501,https://www.saha.go.kr/tour/contents.do?mId=0202040000,-,부산광역시 사하구 다대동로8번길 40,부산광역시 사하구 다대동 798-1,35.05560102,128.9724274,2021-03-25
38,사하예술제,을숙도문화회관 일원,2019-10-18,2019-10-24,"전시, 공연, 체험프로그램, 연계 행사 등",사하구,사하구,-,051-220-4062,https://www.saha.go.kr/tour/contents.do?mId=0202020000,-,부산광역시 사하구 낙동남로1233번길 25,부산광역시 사하구 하단동 1151-14,35.110059,128.9449571,2021-03-25
39,영도다리축제,"영도대교 일원, 아미르공원",2021-01-01,2021-12-31,"개막주제공연, 축하공연, 불꽃쇼, 퍼레이드, 체험행사 등",영도문화원,영도구,-,051-419-4064,http://www.yeongdo.go.kr/ydfestival.web,-,부산광역시 영도구 해양로301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0793867,2021-03-24
40,발복기원제(미확정),봉래산 헬기장,2021-06-11,2021-06-11,"개회식, 기원제, 길놀이, 의식공연, 음복례 등",봉래산발복기원제추진위원회,봉래산발복기원제추진위원회,-,051-419-5722,http://www.yeongdo.go.kr/main.web,-,부산광역시 영도구 벚꽃길 1,부산광역시 영도구 청학동 산54-4,35.08646003,129.0590783,2021-03-24
