SKEY,SE,LC_SE_NM,CMPNM,DETAIL_INFO,CVNTL_KND_NM,IMAGE_URL,WRITNG_DE
17,도시철도 음식점,1호선,맥도날드 시청DT점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
18,관광지 음식점,송도,송도코다리,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/400a02?init,
19,도시철도 음식점,김해 경전철,크리스피크림도넛 김해공항점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,관광안내소,이용가능시설,자동문,장애인전용주차구역,장애인화장실",http://www.wheelbusan.or.kr/board/list/200a01?init,
20,도시철도 음식점,김해 경전철,부산미도어묵 김해공항점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,관광안내소,이용가능시설,자동문,장애인전용주차구역,장애인화장실",http://www.wheelbusan.or.kr/board/list/200a01?init,
21,도시철도 음식점,김해 경전철,이선생짜글이 평강점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
22,도시철도 음식점,김해 경전철,뚜레쥬르 김해국제공항점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인전용주차구역,엘리베이터,장애인화장실,입식테이블,음식점,관광안내소,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
23,도시철도 음식점,김해 경전철,던킨도너츠 김해공항국내선점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,관광안내소,이용가능시설,자동문,장애인전용주차구역,엘리베이터,장애인화장실",http://www.wheelbusan.or.kr/board/list/200a01?init,
24,도시철도 음식점,김해 경전철,이디야커피 부산공항덕두점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
25,도시철도 음식점,김해 경전철,투썸플레이스 부산대저점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,장애인전용주차구역,엘리베이터",http://www.wheelbusan.or.kr/board/list/200a01?init,
26,도시철도 음식점,김해 경전철,소림성,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
27,도시철도 음식점,김해 경전철,주연국수 정식,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
28,도시철도 음식점,김해 경전철,평강분식,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
29,도시철도 음식점,김해 경전철,카페Zen,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,경사로,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
30,도시철도 음식점,동해선,못난이식당,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,경사로,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
31,도시철도 음식점,동해선,처갓집양념치킨 일광점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,이용가능시설,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
32,도시철도 음식점,동해선,팥당,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
33,도시철도 음식점,동해선,카페부크,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
34,도시철도 음식점,김해 경전철,이디야커피 서부산유통지구역점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
35,도시철도 음식점,김해 경전철,용우동 서부산유통단지점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,장애인전용주차구역,장애인화장실",http://www.wheelbusan.or.kr/board/list/200a01?init,
36,도시철도 음식점,김해 경전철,단지분식,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
37,도시철도 음식점,김해 경전철,공항가든,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
38,도시철도 음식점,김해 경전철,뚜레쥬르 서부산유통단지점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
39,도시철도 음식점,동해선,아랑돈까스,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
40,도시철도 음식점,동해선,최가네엄마돼지국밥,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
41,도시철도 음식점,동해선,행복한날수제칼국수 안락점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
42,도시철도 음식점,동해선,고봉민김밥인 부산해운대대동점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인전용주차구역,이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
43,도시철도 음식점,동해선,이디야커피 부산좌동중앙점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,입식테이블,이용가능시설,경사로",http://www.wheelbusan.or.kr/board/list/200a01?init,
44,도시철도 음식점,동해선,파리바게뜨 부산기장점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"경사로,음식점,입식테이블,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
45,도시철도 음식점,동해선,본죽 부산기장점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
46,도시철도 음식점,동해선,베스킨라빈스 부산기장점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
47,도시철도 음식점,동해선,조방낙지,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
48,도시철도 음식점,동해선,맥도날드 부산송정DT점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인전용주차구역,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
49,도시철도 음식점,동해선,파리바게뜨 부산송정점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,경사로,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
50,도시철도 음식점,동해선,카페드롭탑 동부산관광단지점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
51,도시철도 음식점,동해선,자금성,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
52,도시철도 음식점,4호선,Food Cafe 김밥천국 명장점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,입식테이블,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
53,도시철도 음식점,4호선,미주의식탁,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
54,도시철도 음식점,4호선,행복커피,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
55,도시철도 음식점,4호선,88완당집,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,입식테이블,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
56,도시철도 음식점,4호선,주나카페,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
57,도시철도 음식점,4호선,오리마시떼 반송직영점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
58,도시철도 음식점,4호선,진가김해뒷고기 본점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
59,도시철도 음식점,4호선,황궁쟁반짜장 반송점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
60,도시철도 음식점,4호선,베스킨라빈스 부산명장점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
61,도시철도 음식점,4호선,중화원,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
62,도시철도 음식점,4호선,날마다대박나는집,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
63,도시철도 음식점,4호선,요거프레소 반여농산물점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
64,도시철도 음식점,4호선,카페빠네,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
65,도시철도 음식점,4호선,상해,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
66,도시철도 음식점,4호선,순곱이네 동래본점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
67,도시철도 음식점,4호선,석류나무집,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,이용가능시설,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
68,도시철도 음식점,4호선,옹기마을,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
69,도시철도 음식점,4호선,이디야커피 부산안락교차로점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"경사로,음식점,입식테이블,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
70,도시철도 음식점,4호선,TV맛집방송에출연안할집,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
71,도시철도 음식점,4호선,금수복국 동래점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
72,도시철도 음식점,4호선,본죽&비빔밥 Cafe 동래점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
73,도시철도 음식점,4호선,지호한방삼계탕 수안점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
74,도시철도 음식점,4호선,"구, 조방낙지",출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
75,도시철도 음식점,3호선,육뚝배기국밥막국수 만덕본점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
76,도시철도 음식점,3호선,명가추어탕,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
77,도시철도 음식점,3호선,날마다대박나는집,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
78,도시철도 음식점,3호선,롯데리아 부산남산정역점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
79,도시철도 음식점,3호선,김해뒷고기,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
80,도시철도 음식점,3호선,부산진명가설렁탕 체육공원점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,이용가능시설,자동문,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
81,도시철도 음식점,3호선,함양국밥,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
82,도시철도 음식점,3호선,청송보리밥,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,입식테이블,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
83,도시철도 음식점,3호선,들길편의점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
84,도시철도 음식점,3호선,전주남문토종순대국 거제점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
85,도시철도 음식점,3호선,롯데리아 부산거제점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"경사로,음식점,입식테이블,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
86,도시철도 음식점,3호선,베스킨라빈스 부산거제리점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
87,도시철도 음식점,3호선,맥도날드 부산사직DT점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
88,도시철도 음식점,3호선,쌍둥이돼지국밥,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,이용가능시설,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
89,도시철도 음식점,3호선,감성커피 부산사직점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,장애인전용주차구역,장애인화장실",http://www.wheelbusan.or.kr/board/list/200a01?init,
90,도시철도 음식점,3호선,GOPIZZA 부산사직점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,장애인전용주차구역",http://www.wheelbusan.or.kr/board/list/200a01?init,
91,도시철도 음식점,3호선,오정은김밥 사직점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,장애인전용주차구역",http://www.wheelbusan.or.kr/board/list/200a01?init,
92,도시철도 음식점,3호선,부산축산만왕소금구이 본점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,엘리베이터,자동문,이용가능시설,음식점",http://www.wheelbusan.or.kr/board/list/200a01?init,
93,도시철도 음식점,3호선,델리까뜨,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
94,도시철도 음식점,3호선,동래왕순대돼지국밥,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
95,도시철도 음식점,3호선,롯데리아 부산미남역점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,경사로,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
96,도시철도 음식점,3호선,기가차서기찰막걸리 미남점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
97,도시철도 음식점,3호선,본죽&비빔밥 Cafe 법조타운점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
98,도시철도 음식점,3호선,외식1번가 연제점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"엘리베이터,자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
99,도시철도 음식점,3호선,옥성,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
100,도시철도 음식점,3호선,놀부부대찌개 법조타운점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
101,도시철도 음식점,3호선,안경화개미집 법원직영점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
102,도시철도 음식점,2호선,꿀먹은돼지 본점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
103,도시철도 음식점,2호선,베스킨라빈스 부산화명강변점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
104,도시철도 음식점,2호선,파리바게뜨 화명수정점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
105,도시철도 음식점,2호선,홍콩반점 화명역점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
106,도시철도 음식점,2호선,화명멸치국수,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
107,도시철도 음식점,2호선,이디야커피 부산율리점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,경사로,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/200a01?init,
108,도시철도 음식점,3호선,셀렉토커피 부산연수로점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인전용주차구역,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
109,도시철도 음식점,3호선,죽이야기 연제구청점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인전용주차구역,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
